title,image_url,url,author,publisher,isbn
嫌われる勇気,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5819/9784478025819.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/12570589/,岸見一郎/古賀史健,ダイヤモンド社,9784478025819
幸せになる勇気,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6119/9784478066119.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13604272/,岸見一郎/古賀史健,ダイヤモンド社,9784478066119
経営者になるためのノート,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6950/9784569826950.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13354041/,柳井正,PHP研究所,9784569826950
営業の魔法　この魔法を手にした者は必ず成功する,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4891/9784775924891.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/11922036/,中村信仁,パンローリング,9784775924891
完訳7つの習慣,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1014/9784863941014.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16478139/,スティーブ・R．コヴィー/フランクリン・コヴィー・ジャパン,FCEパブリッシング（キングベアー出版）,9784863941014
最高の体調,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2121/9784295402121.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15535425/,鈴木祐,クロスメディア・パブリッシング,9784295402121
マネジメント,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0233/9784478410233.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/1401537/,ピーター・ファーディナンド・ドラッカー/上田惇生,ダイヤモンド社,9784478410233
世界一やさしい「やりたいこと」の見つけ方 人生のモヤモヤから解放される自己理解メソッド,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4358/9784046044358.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16303452/,八木　仁平,KADOKAWA,9784046044358
改訂新版　書く技術・伝える技術,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1482/9784866671482.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15913777/,倉島保美,あさ出版,9784866671482
ハーバード・ビジネス・レビュー イノベーション論文ベスト10 イノベーションの教科書,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6334/9784478106334.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15590555/,ハーバード・ビジネス・レビュー編集部/DIAMONDハーバード・ビジネス・レビュー編集部,ダイヤモンド社,9784478106334
失敗の本質,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8334/9784122018334.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/482427/,戸部良一,中央公論新社,9784122018334
多動力,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8607/9784344428607.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15850773/,堀江貴文,幻冬舎,9784344428607
どん底企業から東証1部へ,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4366/9784478084366.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15380566/,森田千里雄,ダイヤモンド・ビジネス企画,9784478084366
